atom_name,atom_symbol,atom_number,atom_mass,atom_r,n,r,g,b
tungsten,W,74,183.84,1,6,0.79997,0.77511,0.75068
rhenium,Re,75,186.207,1,6,0.99628,0.70149,0.22106
osmium,Os,76,190.23,1,6,0.8294,0.72125,0.79823
iridium,Ir,77,192.217,1,6,0.58798,0.53854,0.42649
platinum,Pt,78,195.078,1,6,0.32386,0.32592,0.35729
gold,Au,79,196.96655,1,6,0.82428,0.18732,0.97211
mercury,Hg,80,200.59,1,6,0,0,1
thallium,Tl,81,204.3833,1,6,0,0,1
lead,Pb,82,207.2,1,6,1,1,0
bismuth,Bi,83,208.98038,1,6,0,0,0
polonium,Po,84,210,1,6,0.42959,0.66659,0.34786
astatine,At,85,210,1,6,0.39344,0.62101,0.45034
radon,Rn,86,222,1,6,0.14893,0.99596,0.47106
francium,Fr,87,223,1,7,0.16101,0.98387,0.20855
radium,Ra,88,226,1,7,0.47774,0.63362,0.66714
actinium,Ac,89,227,1,7,0.3,0.3,0.3
thorium,Th,90,232.0381,1,7,0.3,0.3,0.3
protactinium,Pa,91,231.03588,1,7,0.3,0.3,0.3
uranium,U,92,238.0289,1,7,0.3,0.3,0.3
neptunium,Np,93,237,1,7,0.3,0.3,0.3
plutonium,Pu,94,244,1,7,0.3,0.3,0.3
americium,Am,95,243,1,7,0.3,0.3,0.3
curium,Cm,96,247,1,7,0.3,0.3,0.3
berkelium,Bk,97,247,1,7,0.3,0.3,0.3
californium,Cf,98,251,1,7,0.3,0.3,0.3
einsteinium,Es,99,252,1,7,0.3,0.3,0.3
fermium,Fm,100,257,1,7,0.3,0.3,0.3
mendelevium,Md,101,258,1,7,0.3,0.3,0.3
nobelium,No,102,259,1,7,0.3,0.3,0.3
lawrencium,Lr,103,262,1,7,0.3,0.3,0.3
rutherfordium,Rf,104,261,1,7,0.3,0.3,0.3
dubnium,Db,105,262,1,7,0.3,0.3,0.3
seaborgium,Sg,106,266,1,7,0.3,0.3,0.3
bohrium,Bh,107,264,1,7,0.3,0.3,0.3
hassium,Hs,108,269,1,7,0.3,0.3,0.3
meitnerium,Mt,109,268,1,7,0.3,0.3,0.3
darmstadtium,Ds,110,269,1,7,0.3,0.3,0.3
roentgenium,Rg,111,272,1,7,0.3,0.3,0.3
ununbium,Uub,112,277,1,7,0.3,0.3,0.3
